doc_id,words,sentences,cluster_id,tokens
['bn/abc/00/abc_0009'],"['Tomorrow', ""'s"", 'summit', 'meeting', 'will', 'bring', 'Ehud', 'Barak', 'and', 'Yasser', 'Arafat', 'to', 'the', 'resort', 'city', 'of', 'Sharm', 'El', '-', 'eikh', '.']",Tomorrow 's summit meeting will bring Ehud Barak and Yasser Arafat to the resort city of Sharm El - eikh .,11,"(6, 10)"
['bn/abc/00/abc_0009'],"['Getting', 'both', 'to', 'attend', 'was', 'not', 'an', 'easy', 'task', '.']",Getting both to attend was not an easy task .,11,"(1, 1)"
['bn/abc/00/abc_0009'],"['The', 'last', 'thing', 'President', 'Clinton', 'did', 'today', 'before', 'heading', 'to', 'the', 'Mideast', 'is', 'go', 'to', 'church', '--', 'appropriate', ',', 'perhaps', ',', 'given', 'the', 'enormity', 'of', 'the', 'task', 'he', 'and', 'his', 'national', 'security', 'team', 'face', 'in', 'the', 'days', 'ahead', '.']","The last thing President Clinton did today before heading to the Mideast is go to church -- appropriate , perhaps , given the enormity of the task he and his national security team face in the days ahead .",14,"(3, 4)"
['bn/abc/00/abc_0009'],"['The', 'last', 'thing', 'President', 'Clinton', 'did', 'today', 'before', 'heading', 'to', 'the', 'Mideast', 'is', 'go', 'to', 'church', '--', 'appropriate', ',', 'perhaps', ',', 'given', 'the', 'enormity', 'of', 'the', 'task', 'he', 'and', 'his', 'national', 'security', 'team', 'face', 'in', 'the', 'days', 'ahead', '.']","The last thing President Clinton did today before heading to the Mideast is go to church -- appropriate , perhaps , given the enormity of the task he and his national security team face in the days ahead .",14,"(29, 29)"
['bn/abc/00/abc_0009'],"['The', 'last', 'thing', 'President', 'Clinton', 'did', 'today', 'before', 'heading', 'to', 'the', 'Mideast', 'is', 'go', 'to', 'church', '--', 'appropriate', ',', 'perhaps', ',', 'given', 'the', 'enormity', 'of', 'the', 'task', 'he', 'and', 'his', 'national', 'security', 'team', 'face', 'in', 'the', 'days', 'ahead', '.']","The last thing President Clinton did today before heading to the Mideast is go to church -- appropriate , perhaps , given the enormity of the task he and his national security team face in the days ahead .",14,"(27, 27)"
['bn/abc/00/abc_0009'],"['The', 'last', 'thing', 'President', 'Clinton', 'did', 'today', 'before', 'heading', 'to', 'the', 'Mideast', 'is', 'go', 'to', 'church', '--', 'appropriate', ',', 'perhaps', ',', 'given', 'the', 'enormity', 'of', 'the', 'task', 'he', 'and', 'his', 'national', 'security', 'team', 'face', 'in', 'the', 'days', 'ahead', '.']","The last thing President Clinton did today before heading to the Mideast is go to church -- appropriate , perhaps , given the enormity of the task he and his national security team face in the days ahead .",10,"(6, 6)"
['bn/abc/00/abc_0009'],"['The', 'last', 'thing', 'President', 'Clinton', 'did', 'today', 'before', 'heading', 'to', 'the', 'Mideast', 'is', 'go', 'to', 'church', '--', 'appropriate', ',', 'perhaps', ',', 'given', 'the', 'enormity', 'of', 'the', 'task', 'he', 'and', 'his', 'national', 'security', 'team', 'face', 'in', 'the', 'days', 'ahead', '.']","The last thing President Clinton did today before heading to the Mideast is go to church -- appropriate , perhaps , given the enormity of the task he and his national security team face in the days ahead .",12,"(10, 11)"
['bn/abc/00/abc_0009'],"['We', 'do', 'have', 'to', 'try', 'to', 'reduce', 'the', 'violee', 'and', 'take', 'a', 'turn', 'back', 'for', 'a', 'period', 'of', 'calmness', 'so', 'that', 'we', 'can', 'move', 'back', 'to', 'a', 'peace', 'process', ',', 'but', 'even', 'if', 'the', 'violence', 'subsides', ',', 'Israelis', 'and', 'Palestinians', 'will', 'still', 'have', 'to', 'deal', 'with', 'an', 'open', 'wound', '--', 'a', 'scar', 'so', 'long', 'and', 'so', 'deep', 'from', 'these', 'last', 'two', 'weeks', ',', 'it', 'may', 'be', 'years', 'before', 'there', 'is', 'a', 'real', 'effort', 'at', 'talking', 'peace', 'again', '.']","We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again .",4,"(7, 8)"
['bn/abc/00/abc_0009'],"['We', 'do', 'have', 'to', 'try', 'to', 'reduce', 'the', 'violee', 'and', 'take', 'a', 'turn', 'back', 'for', 'a', 'period', 'of', 'calmness', 'so', 'that', 'we', 'can', 'move', 'back', 'to', 'a', 'peace', 'process', ',', 'but', 'even', 'if', 'the', 'violence', 'subsides', ',', 'Israelis', 'and', 'Palestinians', 'will', 'still', 'have', 'to', 'deal', 'with', 'an', 'open', 'wound', '--', 'a', 'scar', 'so', 'long', 'and', 'so', 'deep', 'from', 'these', 'last', 'two', 'weeks', ',', 'it', 'may', 'be', 'years', 'before', 'there', 'is', 'a', 'real', 'effort', 'at', 'talking', 'peace', 'again', '.']","We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again .",4,"(33, 34)"
['bn/abc/00/abc_0009'],"['We', 'do', 'have', 'to', 'try', 'to', 'reduce', 'the', 'violee', 'and', 'take', 'a', 'turn', 'back', 'for', 'a', 'period', 'of', 'calmness', 'so', 'that', 'we', 'can', 'move', 'back', 'to', 'a', 'peace', 'process', ',', 'but', 'even', 'if', 'the', 'violence', 'subsides', ',', 'Israelis', 'and', 'Palestinians', 'will', 'still', 'have', 'to', 'deal', 'with', 'an', 'open', 'wound', '--', 'a', 'scar', 'so', 'long', 'and', 'so', 'deep', 'from', 'these', 'last', 'two', 'weeks', ',', 'it', 'may', 'be', 'years', 'before', 'there', 'is', 'a', 'real', 'effort', 'at', 'talking', 'peace', 'again', '.']","We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again .",13,"(21, 21)"
['bn/abc/00/abc_0009'],"['We', 'do', 'have', 'to', 'try', 'to', 'reduce', 'the', 'violee', 'and', 'take', 'a', 'turn', 'back', 'for', 'a', 'period', 'of', 'calmness', 'so', 'that', 'we', 'can', 'move', 'back', 'to', 'a', 'peace', 'process', ',', 'but', 'even', 'if', 'the', 'violence', 'subsides', ',', 'Israelis', 'and', 'Palestinians', 'will', 'still', 'have', 'to', 'deal', 'with', 'an', 'open', 'wound', '--', 'a', 'scar', 'so', 'long', 'and', 'so', 'deep', 'from', 'these', 'last', 'two', 'weeks', ',', 'it', 'may', 'be', 'years', 'before', 'there', 'is', 'a', 'real', 'effort', 'at', 'talking', 'peace', 'again', '.']","We do have to try to reduce the violee and take a turn back for a period of calmness so that we can move back to a peace process , but even if the violence subsides , Israelis and Palestinians will still have to deal with an open wound -- a scar so long and so deep from these last two weeks , it may be years before there is a real effort at talking peace again .",13,"(0, 0)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",2,"(27, 28)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",15,"(32, 33)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",6,"(0, 1)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",1,"(6, 7)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",1,"(16, 17)"
['bn/abc/00/abc_0009'],"['Both', 'sides', 'have', 'almost', 'stepped', 'back', 'six', 'years', 'in', 'terms', 'of', 'their', 'statements', 'and', 'attitudes', ',', 'six', 'years', 'or', 'more', '--', 'before', 'the', 'Oslo', 'accords', ',', 'when', 'the', 'Israelis', 'promised', 'land', 'and', 'the', 'Palestinians', 'promised', 'security', '.']","Both sides have almost stepped back six years in terms of their statements and attitudes , six years or more -- before the Oslo accords , when the Israelis promised land and the Palestinians promised security .",6,"(11, 11)"
['bn/abc/00/abc_0019'],"['Back', 'to', 'the', 'Middle', 'East', 'tonight', '.']",Back to the Middle East tonight .,6,"(5, 5)"
['bn/abc/00/abc_0019'],"['the', 'truce', 'brokered', 'by', 'President', 'Clinton', 'between', 'Israelis', 'and', 'Palestinians', 'allegedly', 'is', 'in', 'tatters', '.']",the truce brokered by President Clinton between Israelis and Palestinians allegedly is in tatters .,5,"(7, 9)"
['bn/abc/00/abc_0019'],"['the', 'truce', 'brokered', 'by', 'President', 'Clinton', 'between', 'Israelis', 'and', 'Palestinians', 'allegedly', 'is', 'in', 'tatters', '.']",the truce brokered by President Clinton between Israelis and Palestinians allegedly is in tatters .,12,"(0, 9)"
['bn/abc/00/abc_0019'],"['Palestinians', 'now', 'talking', 'about', 'a', 'battle', 'for', 'independence', '.']",Palestinians now talking about a battle for independence .,0,"(0, 0)"
['bn/abc/00/abc_0019'],"['Israel', 'says', 'it', 'may', 'abandon', 'the', 'peace', 'negotiations', 'altogether', '.']",Israel says it may abandon the peace negotiations altogether .,3,"(2, 2)"
['bn/abc/00/abc_0019'],"['Israel', 'says', 'it', 'may', 'abandon', 'the', 'peace', 'negotiations', 'altogether', '.']",Israel says it may abandon the peace negotiations altogether .,3,"(0, 0)"
['bn/abc/00/abc_0019'],"['Nine', 'Palestinians', 'were', 'killed', 'today', '.']",Nine Palestinians were killed today .,13,"(4, 4)"
['bn/abc/00/abc_0029'],"['We', 'are', 'going', 'to', 'take', '``', 'a', 'closer', 'look', ""''"", 'at', 'the', 'great', 'Wind', 'Cave', 'in', 'South', 'Dakota', '.']",We are going to take `` a closer look '' at the great Wind Cave in South Dakota .,1,"(11, 17)"
['bn/abc/00/abc_0029'],"['We', 'are', 'going', 'to', 'take', '``', 'a', 'closer', 'look', ""''"", 'at', 'the', 'great', 'Wind', 'Cave', 'in', 'South', 'Dakota', '.']",We are going to take `` a closer look '' at the great Wind Cave in South Dakota .,6,"(16, 17)"
['bn/abc/00/abc_0029'],"['We', 'asked', 'Judy', 'Muller', 'if', 'she', 'would', 'like', 'to', 'do', 'the', 'story', 'of', 'a', 'fascinating', 'man', '.']",We asked Judy Muller if she would like to do the story of a fascinating man .,9,"(13, 15)"
['bn/abc/00/abc_0029'],"['We', 'asked', 'Judy', 'Muller', 'if', 'she', 'would', 'like', 'to', 'do', 'the', 'story', 'of', 'a', 'fascinating', 'man', '.']",We asked Judy Muller if she would like to do the story of a fascinating man .,0,"(5, 5)"
['bn/abc/00/abc_0029'],"['We', 'asked', 'Judy', 'Muller', 'if', 'she', 'would', 'like', 'to', 'do', 'the', 'story', 'of', 'a', 'fascinating', 'man', '.']",We asked Judy Muller if she would like to do the story of a fascinating man .,0,"(2, 3)"
['bn/abc/00/abc_0029'],"['She', 'took', 'a', 'deep', 'breath', 'and', 'said', ',', 'okay', '.']","She took a deep breath and said , okay .",0,"(0, 0)"
['bn/abc/00/abc_0039'],"['There', ""'s"", 'one', 'very', 'difficult', 'condition', '.']",There 's one very difficult condition .,0,"(2, 5)"
['bn/abc/00/abc_0039'],"['There', 'could', 'be', 'no', 'discussion', 'for', 'now', 'about', 'who', 'will', 'have', 'what', 'status', 'in', 'Jerusalem', '.']",There could be no discussion for now about who will have what status in Jerusalem .,0,"(3, 14)"
['bn/abc/00/abc_0039'],"['Palestinians', 'do', ""n't"", 'like', 'it', '.']",Palestinians do n't like it .,0,"(4, 4)"
['bn/abc/00/abc_0049'],"['While', 'all', 'this', 'is', 'going', 'on', ',', 'Mr.', 'Clinton', 'is', 'overseas', '.']","While all this is going on , Mr. Clinton is overseas .",1,"(7, 8)"
['bn/abc/00/abc_0049'],"['President', 'Clinton', 'was', 'in', 'Northern', 'Ireland', 'when', 'he', 'heard', 'the', 'Supreme', 'Court', 'decision', '.']",President Clinton was in Northern Ireland when he heard the Supreme Court decision .,1,"(7, 7)"
['bn/abc/00/abc_0049'],"['President', 'Clinton', 'was', 'in', 'Northern', 'Ireland', 'when', 'he', 'heard', 'the', 'Supreme', 'Court', 'decision', '.']",President Clinton was in Northern Ireland when he heard the Supreme Court decision .,1,"(0, 1)"
['bn/abc/00/abc_0049'],"['President', 'Clinton', 'was', 'in', 'Northern', 'Ireland', 'when', 'he', 'heard', 'the', 'Supreme', 'Court', 'decision', '.']",President Clinton was in Northern Ireland when he heard the Supreme Court decision .,0,"(4, 5)"
['bn/abc/00/abc_0049'],"['He', 'talked', 'to', 'Al', 'Gore', 'on', 'the', 'phone', 'from', 'Belfast', '.']",He talked to Al Gore on the phone from Belfast .,1,"(0, 0)"
['bn/abc/00/abc_0049'],"['This', 'is', 'Mr.', 'Clinton', ""'s"", 'third', 'visit', 'to', 'Northern', 'Ireland', ',', 'and', 'the', 'Irish', 'Republic', 'to', 'do', 'what', 'he', 'can', 'to', 'generate', 'a', 'lasting', 'peace', '.']","This is Mr. Clinton 's third visit to Northern Ireland , and the Irish Republic to do what he can to generate a lasting peace .",1,"(2, 4)"
['bn/abc/00/abc_0049'],"['This', 'is', 'Mr.', 'Clinton', ""'s"", 'third', 'visit', 'to', 'Northern', 'Ireland', ',', 'and', 'the', 'Irish', 'Republic', 'to', 'do', 'what', 'he', 'can', 'to', 'generate', 'a', 'lasting', 'peace', '.']","This is Mr. Clinton 's third visit to Northern Ireland , and the Irish Republic to do what he can to generate a lasting peace .",0,"(8, 9)"
['bn/abc/00/abc_0049'],"['This', 'is', 'Mr.', 'Clinton', ""'s"", 'third', 'visit', 'to', 'Northern', 'Ireland', ',', 'and', 'the', 'Irish', 'Republic', 'to', 'do', 'what', 'he', 'can', 'to', 'generate', 'a', 'lasting', 'peace', '.']","This is Mr. Clinton 's third visit to Northern Ireland , and the Irish Republic to do what he can to generate a lasting peace .",1,"(18, 18)"
['bn/abc/00/abc_0059'],"['The', 'Indonesian', 'billionaire', 'James', 'Riady', 'has', 'agreed', 'to', 'pay', '$', '8.5', 'million', 'and', 'plead', 'guilty', 'to', 'illegally', 'donating', 'money', 'for', 'Bill', 'Clinton', ""'s"", '1992', 'presidential', 'campaign', '.']",The Indonesian billionaire James Riady has agreed to pay $ 8.5 million and plead guilty to illegally donating money for Bill Clinton 's 1992 presidential campaign .,0,"(0, 4)"
['bn/abc/00/abc_0059'],"['He', 'admits', 'he', 'was', 'trying', 'to', 'influence', 'American', 'policy', 'on', 'China', '.']",He admits he was trying to influence American policy on China .,0,"(0, 0)"
['bn/abc/00/abc_0059'],"['He', 'admits', 'he', 'was', 'trying', 'to', 'influence', 'American', 'policy', 'on', 'China', '.']",He admits he was trying to influence American policy on China .,0,"(2, 2)"
['bn/abc/00/abc_0069'],"['There', ""'s"", 'a', 'man', 'on', 'trial', 'in', 'New', 'York', 'for', 'bombing', 'the', 'American', 'embassy', 'in', 'Kenya', 'two', 'years', 'ago', '.']",There 's a man on trial in New York for bombing the American embassy in Kenya two years ago .,2,"(10, 10)"
['bn/abc/00/abc_0069'],"['There', ""'s"", 'a', 'man', 'on', 'trial', 'in', 'New', 'York', 'for', 'bombing', 'the', 'American', 'embassy', 'in', 'Kenya', 'two', 'years', 'ago', '.']",There 's a man on trial in New York for bombing the American embassy in Kenya two years ago .,0,"(2, 18)"
['bn/abc/00/abc_0069'],"['There', ""'s"", 'a', 'man', 'on', 'trial', 'in', 'New', 'York', 'for', 'bombing', 'the', 'American', 'embassy', 'in', 'Kenya', 'two', 'years', 'ago', '.']",There 's a man on trial in New York for bombing the American embassy in Kenya two years ago .,15,"(11, 15)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",7,"(12, 30)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",19,"(10, 10)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",0,"(8, 8)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",0,"(6, 6)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",16,"(30, 30)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",17,"(23, 27)"
['bn/abc/00/abc_0069'],"['The', 'FBI', 'says', 'when', 'they', 'questioned', 'him', ',', 'he', 'told', 'them', 'of', 'another', 'plot', 'to', 'bomb', 'an', 'American', 'ship', 'in', 'Yemen', ',', 'where', 'the', '``', 'USS', 'Cole', ""''"", 'was', 'ultimately', 'attacked', '.']","The FBI says when they questioned him , he told them of another plot to bomb an American ship in Yemen , where the `` USS Cole '' was ultimately attacked .",19,"(0, 1)"
